Species_ID,Status,Create_time,Modify_time,EDGE_Group,Type,EDGE_rank,Species_class,Species_order,Species_family,Scientific_name,Synonym,Common_name,ED_score,GE_score,EDGE_score,Short_summary,Summary,Other_names,Edgeometer,Possibly_extinct,Focus_species,Search_countries,Generate_countries,Aquatic_regions
398,Publish,NULL,NULL,Mammals,EDGE,648,Mammalia,Rodentia,Spalacidae,Spalax giganteus,,Giant Blind Mole Rat,11.84461082,VU,3.93921869,,,"Giant Blind Mole Rat, Giant Mole Rat, Russian Mole Rat",,,,,,
1754,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,649,Mammalia,Rodentia,Muridae,Kadarsanomys sodyi,,Javan Bamboo Rat,11.84417208,VU,3.93918453,,,"Javan Bamboo Rat, Sody's Tree Rat",,N,N,,,
1671,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,650,Mammalia,Diprotodontia,Phalangeridae,Strigocuscus celebensis,,Small Sulawesi Cuscus,11.83893796,VU,3.93877694,,,"Small Sulawesi Cuscus, Little Celebes Cuscus, Small Cuscus",,N,N,,,
1662,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,651,Mammalia,Rodentia,Spalacidae,Spalax zemni,,Podolian Mole Rat,11.83704768,VU,3.9386297,,,"Podolian Mole Rat, Podolsk Mole Rat",,N,N,,,
364,Publish,NULL,NULL,Mammals,EDGE,656,Mammalia,Primates,Lemuridae,Eulemur coronatus,,Crowned Lemur,11.80929914,VU,3.93646576,,,Crowned Lemur,,,,,,
1473,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,260,Mammalia,Rodentia,Dipodidae,Sicista kazbegica,,Kazbeg Birch Mouse,11.79460395,EN,4.62846506,,,Kazbeg Birch Mouse,,N,N,,,
1490,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,261,Mammalia,Peramelemorphia,Peramelidae,Peroryctes broadbenti,,Giant Bandicoot,11.76909131,EN,4.62646905,,,Giant Bandicoot,,N,N,,,
399,Publish,NULL,NULL,Mammals,Other,1160,Mammalia,Rodentia,Spalacidae,Spalax graecus,,Balkan Blind Mole Rat,11.75786903,NT,3.23929544,,,"Balkan Blind Mole Rat, Balkan Mole Rat, Bukovin Mole Rat",,,,,,
1676,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,662,Mammalia,Chiroptera,Hipposideridae,Hipposideros inornatus,,Arnhem Leaf-nosed Bat,11.73406568,VU,3.9305751,,,Arnhem Leaf-nosed Bat,,N,N,,,
1675,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,663,Mammalia,Chiroptera,Hipposideridae,Hipposideros demissus,,Makira Leaf-nosed Bat,11.7222369,VU,3.92964576,,,Makira Leaf-nosed Bat,,N,N,,,
1485,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,264,Mammalia,Chiroptera,Vespertilionidae,Plecotus teneriffae,,Canary Big-eared Bat,11.71961003,EN,4.62258644,,,"Canary Big-eared Bat, Canary Long-eared Bat, Tenerife Long-eared Bat",,N,N,,,
432,Publish,NULL,NULL,Mammals,EDGE,671,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,,Northern Fur Seal,11.60651243,VU,3.9205079,,,Northern Fur Seal,,,,,,
1536,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,268,Mammalia,Rodentia,Muridae,Nesokia bunnii,,Bunn's Short-tailed Bandicoot Rat,11.60631874,EN,4.61363972,,,Bunn's Short-tailed Bandicoot Rat,,N,N,,,
1502,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,269,Mammalia,Rodentia,Muridae,Vandeleuria nolthenii,,Sri Lankan Highland Tree Mouse,11.59966613,EN,4.61311186,,,"Sri Lankan Highland Tree Mouse, Nolthenius's Long-tailed Climbing Mouse",,N,N,,,
406,Publish,NULL,NULL,Mammals,Other,,Mammalia,Soricomorpha,Soricidae,Cryptotis hondurensis,,"Honduran Small Eared Shrew, Honduran Small-eared Shrew",11.59398041,DD,0,,,"Honduran Small Eared Shrew, Honduran Small-eared Shrew",,,,,,
322,Publish,NULL,NULL,Mammals,EDGE,673,Mammalia,Primates,Indridae,Propithecus verreauxi,,Verreaux's Sifaka,11.54647315,VU,3.91573396,,,Verreaux's Sifaka,,,,,,
414,Publish,NULL,NULL,Mammals,Other,,Mammalia,Carnivora,Mustelidae,Melogale everetti,,"Bornean Ferret Badger, Everett's Ferret-badger, Kinabalu Ferret-badger",11.54369186,DD,0,,,"Bornean Ferret Badger, Everett's Ferret-badger, Kinabalu Ferret-badger",,,,,,
1481,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,272,Mammalia,Primates,Indridae,Propithecus edwardsi,,Milne-edward's Sifaka,11.53829074,EN,4.60822876,,,"Milne-edward's Sifaka, Milne-edwards' Sifaka, Milne-edwards's Simpona",,N,N,,,
1760,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,677,Mammalia,Rodentia,Cricetidae,Proedromys bedfordi,,Duke Of Bedford's Vole,11.53003916,VU,3.91442326,,,Duke Of Bedford's Vole,,N,N,,,
1492,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,274,Mammalia,Peramelemorphia,Peramelidae,Rhynchomeles prattorum,,Seram Bandicoot,11.52134973,EN,4.60687671,,,"Seram Bandicoot, Ceram Bandicoot",,N,N,,,
1480,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,275,Mammalia,Primates,Indridae,Propithecus coquereli,,Coquerel's Sifaka,11.48699717,EN,4.60412942,,,"Coquerel's Sifaka, Crowned Sifaka",,N,N,,,
362,Publish,NULL,NULL,Mammals,EDGE,276,Mammalia,Lagomorpha,Ochotonidae,Ochotona iliensis,,Ili Pika,11.48386962,EN,4.60387892,,,Ili Pika,,,,,,
1488,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,277,Mammalia,Chiroptera,Hipposideridae,Hipposideros hypophyllus,,Kolar Leaf-nosed Bat,11.47589283,EN,4.60323975,,,"Kolar Leaf-nosed Bat, Leafletted Leaf-nosed Bat",,N,N,,,
1489,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,278,Mammalia,Chiroptera,Hipposideridae,Hipposideros orbiculus,,Orbiculus Leaf-nosed Bat,11.47589283,EN,4.60323975,,,"Orbiculus Leaf-nosed Bat, Orbiculus Roundleaf Bat",,N,N,,,
1680,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,679,Mammalia,Chiroptera,Hipposideridae,Hipposideros scutinares,,Shield-nosed Leaf-nosed Bat,11.47589283,VU,3.91009257,,,Shield-nosed Leaf-nosed Bat,,N,N,,,
1681,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,680,Mammalia,Chiroptera,Hipposideridae,Hipposideros sorenseni,,Sorensen's Leaf-nosed Bat,11.47589283,VU,3.91009257,,,Sorensen's Leaf-nosed Bat,,N,N,,,
405,Publish,NULL,NULL,Mammals,EDGE,681,Mammalia,Soricomorpha,Soricidae,Cryptotis gracilis,,Talamancan Small Eared Shrew,11.47113365,VU,3.90971103,,,"Talamancan Small Eared Shrew, Talamancan Small-eared Shrew",,,,,,
351,Publish,NULL,NULL,Mammals,Other,1179,Mammalia,Rodentia,Sciuridae,Ratufa macroura,,Grizzled Giant Squirrel,11.44840567,NT,3.21473974,,,"Grizzled Giant Squirrel, Sri Lankan Giant Squirrel",,,,,,
1669,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,685,Mammalia,Primates,Indridae,Propithecus deckenii,,Van Der Decken's Sifaka,11.42426317,VU,3.90594563,,,"Van Der Decken's Sifaka, Decken's Sifaka",,N,N,,,
1679,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,686,Mammalia,Carnivora,Mephitidae,Spilogale pygmaea,,Pygmy Spotted Skunk,11.42315259,VU,3.90585624,,,Pygmy Spotted Skunk,,N,N,,,
342,Publish,NULL,NULL,Mammals,EDGE,689,Mammalia,Artiodactyla,Bovidae,Ammotragus lervia,,Aoudad,11.38778218,VU,3.90300504,,,"Aoudad, Barbary Sheep, Uaddan",,,,,,
404,Publish,NULL,NULL,Mammals,Other,,Mammalia,Rodentia,Nesomyidae,Steatomys jacksoni,,Jackson's Fat Mouse,11.38757015,DD,0,,,Jackson's Fat Mouse,,,,,,
1556,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,282,Mammalia,Rodentia,Muridae,Diplothrix legata,,Ryukyus Islands Tree Rat,11.36745786,EN,4.5945102,,,"Ryukyus Islands Tree Rat, Ryukyu Long-tailed Giant Rat, Ryukyu Rat",,N,N,,,
1487,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,283,Mammalia,Diprotodontia,Phalangeridae,Phalanger alexandrae,,Gebe Cuscus,11.27380284,EN,4.58690868,,,Gebe Cuscus,,N,N,,,
1678,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,697,Mammalia,Diprotodontia,Phalangeridae,Phalanger matabiru,,Blue-eyed Cuscus,11.27380284,VU,3.8937615,,,Blue-eyed Cuscus,,N,N,,,
408,Publish,NULL,NULL,Mammals,EDGE,698,Mammalia,Afrosoricida,Tenrecidae,Microgale dryas,,Tree Shrew Tenrec,11.24619227,VU,3.89150941,,,Tree Shrew Tenrec,,,,,,
1486,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,285,Mammalia,Primates,Hominidae,Gorilla beringei,,Eastern Gorilla,11.21914344,EN,4.5824454,,,"Eastern Gorilla, Mountain Gorilla",,N,N,,,
1677,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,701,Mammalia,Artiodactyla,Cervidae,Hydropotes inermis,,Chinese Water Deer,11.19378238,VU,3.88722054,,,Chinese Water Deer,,N,N,,,
409,Publish,NULL,NULL,Mammals,Other,2155,Mammalia,Afrosoricida,Tenrecidae,Microgale parvula,Microgale parvula,Pygmy Shrew Tenrec,11.18839979,LC,2.50048466,,,Pygmy Shrew Tenrec,,,,,,
1688,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,702,Mammalia,Chiroptera,Hipposideridae,Hipposideros marisae,,Aellen's Roundleaf Bat,11.16552881,VU,3.88490081,,,Aellen's Roundleaf Bat,,N,N,,,
1726,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,703,Mammalia,Rodentia,Muridae,Phloeomys cumingi,,Southern Luzon Phloeomys,11.14102966,VU,3.88288496,,,"Southern Luzon Phloeomys, Southern Giant Slender-tailed Cloud Rat, Southern Luzon Giant Cloud Rat",,N,N,,,
